"id","name","section","name_updated"
750,Maharashtra Government Premises (Eviction) Act,"7","Maharashtra Government Premises (Eviction) Act, 1956"
1581,Bombay Sales Act 1959,"515263",Bombay Sales Act 1959
1599,Passport Act 1950,"18(1)",Passport Act 1950
1600,Passport Act 1950,"36(1)",Passport Act 1950
1611,Bombay Sales Act 1959,"636551",Bombay Sales Act 1959
1628,Bombay Sales Act 1959,"103104",Bombay Sales Act 1959
1629,Bombay Sales Act 1959,"6368",Bombay Sales Act 1959
1659,Bombay Sales Act 1959,"51RW63",Bombay Sales Act 1959
1675,Bombay Sales Act 1959,"51RWS63",Bombay Sales Act 1959
1690,Bombay Sales Act 1959,"53",Bombay Sales Act 1959
1702,PROHIBITION OF CHILD MARRIAGE ACT,"11i","The Prohibition of Child Marriage Act, 2006"
1703,PROHIBITION OF CHILD MARRIAGE ACT,"12c","The Prohibition of Child Marriage Act, 2006"
1724,Bombay Sales Act 1959,"65",Bombay Sales Act 1959
12227,Bonded Labour System (Abolition) Act,"22","Bonded Labour System (Abolition) Act, 1976"
12228,Bonded Labour System (Abolition) Act,"10","Bonded Labour System (Abolition) Act, 1976"
12229,Children (Pledging of Labour) Act,"06","Children (Pledging of Labour) Act, 1933"
12241,Protection of Children From Sexual Offences Act,"16","Protection of Children from Sexual Offences Act, 2012"
12242,Bonded Labour System (Abolition) Act,"5","Bonded Labour System (Abolition) Act, 1976"
12243,Bonded Labour System (Abolition) Act,"6","Bonded Labour System (Abolition) Act, 1976"
12245,"Code of Criminal Procedure, 1973","440","Code of Criminal Procedure, 1973"
12246,Indian Penal Code,"363.365","Indian Penal Code (IPC), 1860"
12247,Bonded Labour System Abolition Act,"16","Bonded Labour System (Abolition) Act, 1976"
12248,Bonded Labour System Abolition Act,"18","Bonded Labour System (Abolition) Act, 1976"
39,Indian Penal Code,"147","Indian Penal Code (IPC), 1860"
35,Indian Penal Code,"323","Indian Penal Code (IPC), 1860"
34,Indian Penal Code,"471","Indian Penal Code (IPC), 1860"
12230,Indian Penal Code,"363","Indian Penal Code (IPC), 1860"
12231,Indian Penal Code,"365","Indian Penal Code (IPC), 1860"
1643,Prevention of Food Adultration Act,"39/63",
12249,Indian Penal Code,"3655","Indian Penal Code (IPC), 1860"
42,Indian Penal Code,"366","Indian Penal Code (IPC), 1860"
12232,Indian Penal Code,"367","Indian Penal Code (IPC), 1860"
12233,Indian Penal Code,"368","Indian Penal Code (IPC), 1860"
51,INDIAN PENAL CODE,"506","Indian Penal Code (IPC), 1860"
8123,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
11248,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
11451,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
8677,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
12069,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
6861,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
11565,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
1644,Prevention of Food Adultration Act,"33R/W51",
11579,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
5185,Indian Penal Code,"506(2)","Indian Penal Code (IPC), 1860"
36,Indian Penal Code,"120(b)","Indian Penal Code (IPC), 1860"
37,Indian Penal Code,"343","Indian Penal Code (IPC), 1860"
11490,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
11307,"INDIAN PENAL CODE, 1860","506(2)","Indian Penal Code (IPC), 1860"
40,Indian Penal Code,"326","Indian Penal Code (IPC), 1860"
41,Indian Penal Code,"380","Indian Penal Code (IPC), 1860"
43,Indian Penal Code,"376 AB","Indian Penal Code (IPC), 1860"
46,Indian Penal Code,"3566","Indian Penal Code (IPC), 1860"
47,Prohibition of Child Marriage Act,"3(2)","The Prohibition of Child Marriage Act, 2006"
48,Indian Penal Code,"376","Indian Penal Code (IPC), 1860"
49,"Code of Criminal Procedure, 1973","439","Code of Criminal Procedure, 1973"
50,INDIAN PENAL CODE,"120(B)","Indian Penal Code (IPC), 1860"
1688,Prevention of Food Adultration Act,"33&39",
705,POCSO,"8","Protection of Children from Sexual Offences Act, 2012"
757,Maharashtra Government Premises (Eviction) Act,"17","Maharashtra Government Premises (Eviction) Act, 1956"
779,PROHIBITION OF CHILD MARRIAGE ACT,"10","The Prohibition of Child Marriage Act, 2006"
780,PROHIBITION OF CHILD MARRIAGE ACT,"11","The Prohibition of Child Marriage Act, 2006"
792,PROHIBITION OF CHILD MARRIAGE ACT,"10","The Prohibition of Child Marriage Act, 2006"
793,PROHIBITION OF CHILD MARRIAGE ACT,"11","The Prohibition of Child Marriage Act, 2006"
808,PROHIBITION OF CHILD MARRIAGE ACT,"10","The Prohibition of Child Marriage Act, 2006"
809,PROHIBITION OF CHILD MARRIAGE ACT,"11","The Prohibition of Child Marriage Act, 2006"
826,Hindu Marriage Act,"5(iii)","Hindu Marriage Act, 1955"
52,Indian Penal Code,"376(B)","Indian Penal Code (IPC), 1860"
54,Indian Penal Code,"498A","Indian Penal Code (IPC), 1860"
61,Indian Penal Code,"365","Indian Penal Code (IPC), 1860"
53,Indian Penal Code,"366A","Indian Penal Code (IPC), 1860"
67,Indian Penal Code,"370","Indian Penal Code (IPC), 1860"
55,Indian Penal Code,"354A","Indian Penal Code (IPC), 1860"
56,Protection of Children From Sexual Offences Act,"4","Protection of Children from Sexual Offences Act, 2012"
57,Indian Penal Code,"120(B)","Indian Penal Code (IPC), 1860"
58,Prohibition of Child Marriage Act,"4","The Prohibition of Child Marriage Act, 2006"
59,Prohibition of Child Marriage Act,"17","The Prohibition of Child Marriage Act, 2006"
11717,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
11976,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
7637,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
8113,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
8276,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
6330,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
8248,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
7213,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
11476,"INDIAN PENAL CODE, 1860","506(i)","Indian Penal Code (IPC), 1860"
11458,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
9152,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
6306,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8301,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8291,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8277,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
3832,INDIAN PENAL CODE,"506(ii)","Indian Penal Code (IPC), 1860"
11614,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
12027,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
9150,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
9107,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
7872,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8266,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
9083,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
7971,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8007,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
11503,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
11484,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
8040,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
11465,"INDIAN PENAL CODE, 1860","506(ii)","Indian Penal Code (IPC), 1860"
13126,INDIAN PENAL CODE,"506-2","Indian Penal Code (IPC), 1860"
2357,Indian Penal Code,"506ipc","Indian Penal Code (IPC), 1860"
6405,INDIAN PENAL CODE,"506ipc","Indian Penal Code (IPC), 1860"
6402,Indian Penal Code,"511/34","Indian Penal Code (IPC), 1860"
6386,Indian Penal Code,"551/34","Indian Penal Code (IPC), 1860"
11456,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT, 2015","23","Juvenile Justice (Care and Protection of Children) Act, 2015"
5286,Assam (Alteration of Boundaries) Act,"477A",
947,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"23","Juvenile Justice (Care and Protection of Children) Act, 2015"
4429,"Juvenile Justice (Care and Protection of Children) Act, 2015","23","Juvenile Justice (Care and Protection of Children) Act, 2015"
5004,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
10078,Juvenile Justice Act,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
3201,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
5275,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
11457,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT, 2015","26","Juvenile Justice (Care and Protection of Children) Act, 2015"
4508,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
10117,Juvenile Justice Act,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
10798,Juvenile Justice Act,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
4430,"Juvenile Justice (Care and Protection of Children) Act, 2015","26","Juvenile Justice (Care and Protection of Children) Act, 2015"
11487,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT, 2015","26","Juvenile Justice (Care and Protection of Children) Act, 2015"
11812,J.J.Act 23,"26","Juvenile Justice (Care and Protection of Children) Act, 2015"
7199,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT, 2015","75","Juvenile Justice (Care and Protection of Children) Act, 2015"
1062,"Juvenile Justice (Care and Protection of Children) Act, 2015","75","Juvenile Justice (Care and Protection of Children) Act, 2015"
4043,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"75.79","Juvenile Justice (Care and Protection of Children) Act, 2015"
63,Indian Penal Code,"109","Indian Penal Code (IPC), 1860"
64,Indian Penal Code,"406","Indian Penal Code (IPC), 1860"
65,Prohibition of Child Marriage Act,"10","The Prohibition of Child Marriage Act, 2006"
66,Prohibition of Child Marriage Act,"11","The Prohibition of Child Marriage Act, 2006"
68,Indian Penal Code,"295(A)","Indian Penal Code (IPC), 1860"
69,Indian Penal Code,"344","Indian Penal Code (IPC), 1860"
72,Indian Penal Code,"307","Indian Penal Code (IPC), 1860"
73,Indian Penal Code,"341","Indian Penal Code (IPC), 1860"
74,Prohibition of Child Marriage Act,"384","The Prohibition of Child Marriage Act, 2006"
76,Prohibition of Child Marriage Act,R,"The Prohibition of Child Marriage Act, 2006"
77,Prohibition of Child Marriage Act,W Sec11,"The Prohibition of Child Marriage Act, 2006"
78,Prohibition of Child Marriage Act,"3(1)","The Prohibition of Child Marriage Act, 2006"
11785,J.J.Act 23,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5621,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
10453,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT, 2015","79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5008,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5460,j.j appeal,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
12839,Juvenile Justice (Care and Protection of Children) Act,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
3810,"Juvenile Justice (Care and Protection of Children) Act, 2015","79","Juvenile Justice (Care and Protection of Children) Act, 2015"
